step,dx,dz,volume_ul,liquid_class,timer_delta,source,step_index,destination,group_number,timer_group_check,guid,from_path,asp_mixing,dispense_type,tip_type,touchoff_dis,to_plate,to_well,from_plate,from_well,liquid_type_x,liquid_type_y,liquid_type
conjugate,13,0.35,1,ivl_tip50_water_JetEmpty,-1,CS031,1,1,1,0,1,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,1,ivl_384_flat_v1_0001,1,water,,water
conjugate,13,0.35,1,ivl_tip50_water_JetEmpty,-1,CS031,1,2,1,0,2,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,2,ivl_384_flat_v1_0001,1,water,,water
conjugate,13,0.35,1,ivl_tip50_water_JetEmpty,-1,CS031,1,3,1,0,3,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,3,ivl_384_flat_v1_0001,1,water,,water
conjugate,13,0.35,1,ivl_tip50_water_JetEmpty,-1,CS031,1,4,1,0,4,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,4,ivl_384_flat_v1_0001,1,water,,water
conjugate,13,0.35,1,ivl_tip50_water_JetEmpty,-1,CS031,1,5,1,0,5,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,5,ivl_384_flat_v1_0001,1,water,,water
conjugate,13,0.35,1,ivl_tip50_water_JetEmpty,-1,CS031,1,6,1,0,6,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,6,ivl_384_flat_v1_0001,1,water,,water
conjugate,13,0.35,1,ivl_tip50_water_JetEmpty,-1,CS031,1,7,1,0,7,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,7,ivl_384_flat_v1_0001,1,water,,water
conjugate,13,0.35,1,ivl_tip50_water_JetEmpty,-1,CS031,1,8,1,0,8,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,8,ivl_384_flat_v1_0001,1,water,,water
conjugate,13,0.35,1,ivl_tip50_water_JetEmpty,-1,CS031,1,9,2,0,9,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,9,ivl_384_flat_v1_0001,1,water,,water
conjugate,13,0.35,1,ivl_tip50_water_JetEmpty,-1,CS031,1,10,2,0,10,some path,0,Jet_Empty,50,-1,IVL_Plate_v3_96cassettes_ABformat_0001,10,ivl_384_flat_v1_0001,1,water,,water
